iata,month,statcan_geo,metric,value,source_table
YYC,2020-03-01,"Calgary International, Alberta",total_screened_passengers,248446,23100312
YYC,2020-04-01,"Calgary International, Alberta",total_screened_passengers,15268,23100312
YYC,2020-05-01,"Calgary International, Alberta",total_screened_passengers,20141,23100312
YYC,2020-06-01,"Calgary International, Alberta",total_screened_passengers,43165,23100312
YYC,2020-07-01,"Calgary International, Alberta",total_screened_passengers,88190,23100312
YYC,2020-08-01,"Calgary International, Alberta",total_screened_passengers,116530,23100312
YYC,2020-09-01,"Calgary International, Alberta",total_screened_passengers,103455,23100312
YYC,2020-10-01,"Calgary International, Alberta",total_screened_passengers,102782,23100312
YYC,2020-11-01,"Calgary International, Alberta",total_screened_passengers,87023,23100312
YYC,2020-12-01,"Calgary International, Alberta",total_screened_passengers,93109,23100312
YYC,2021-01-01,"Calgary International, Alberta",total_screened_passengers,82007,23100312
YYC,2021-02-01,"Calgary International, Alberta",total_screened_passengers,54312,23100312
YYC,2021-03-01,"Calgary International, Alberta",total_screened_passengers,64535,23100312
YYC,2021-04-01,"Calgary International, Alberta",total_screened_passengers,58939,23100312
YYC,2021-05-01,"Calgary International, Alberta",total_screened_passengers,59344,23100312
YYC,2021-06-01,"Calgary International, Alberta",total_screened_passengers,100339,23100312
YYC,2021-07-01,"Calgary International, Alberta",total_screened_passengers,236450,23100312
YYC,2021-08-01,"Calgary International, Alberta",total_screened_passengers,349117,23100312
YYC,2021-09-01,"Calgary International, Alberta",total_screened_passengers,290848,23100312
YYC,2021-10-01,"Calgary International, Alberta",total_screened_passengers,284709,23100312
YYC,2021-11-01,"Calgary International, Alberta",total_screened_passengers,273213,23100312
YYC,2021-12-01,"Calgary International, Alberta",total_screened_passengers,321634,23100312
YYC,2022-01-01,"Calgary International, Alberta",total_screened_passengers,230833,23100312
YYC,2022-02-01,"Calgary International, Alberta",total_screened_passengers,253223,23100312
YYC,2022-03-01,"Calgary International, Alberta",total_screened_passengers,341437,23100312
YYC,2022-04-01,"Calgary International, Alberta",total_screened_passengers,385183,23100312
YYC,2022-05-01,"Calgary International, Alberta",total_screened_passengers,436488,23100312
YYC,2022-06-01,"Calgary International, Alberta",total_screened_passengers,494798,23100312
YYC,2022-07-01,"Calgary International, Alberta",total_screened_passengers,570152,23100312
YYC,2022-08-01,"Calgary International, Alberta",total_screened_passengers,546488,23100312
YYC,2022-09-01,"Calgary International, Alberta",total_screened_passengers,505768,23100312
YYC,2022-10-01,"Calgary International, Alberta",total_screened_passengers,496383,23100312
YYC,2022-11-01,"Calgary International, Alberta",total_screened_passengers,448582,23100312
YYC,2022-12-01,"Calgary International, Alberta",total_screened_passengers,481960,23100312
YYC,2023-01-01,"Calgary International, Alberta",total_screened_passengers,461108,23100312
YYC,2023-02-01,"Calgary International, Alberta",total_screened_passengers,451037,23100312
YYC,2023-03-01,"Calgary International, Alberta",total_screened_passengers,520355,23100312
YYC,2023-04-01,"Calgary International, Alberta",total_screened_passengers,497740,23100312
YYC,2023-05-01,"Calgary International, Alberta",total_screened_passengers,540083,23100312
YYC,2023-06-01,"Calgary International, Alberta",total_screened_passengers,613136,23100312
YYC,2023-07-01,"Calgary International, Alberta",total_screened_passengers,741194,23100312
YYC,2023-08-01,"Calgary International, Alberta",total_screened_passengers,726120,23100312
YYC,2023-09-01,"Calgary International, Alberta",total_screened_passengers,632015,23100312
YYC,2023-10-01,"Calgary International, Alberta",total_screened_passengers,599954,23100312
YYC,2023-11-01,"Calgary International, Alberta",total_screened_passengers,498933,23100312
YYC,2023-12-01,"Calgary International, Alberta",total_screened_passengers,507243,23100312
YYC,2024-01-01,"Calgary International, Alberta",total_screened_passengers,507019,23100312
YYC,2024-02-01,"Calgary International, Alberta",total_screened_passengers,498253,23100312
YYC,2024-03-01,"Calgary International, Alberta",total_screened_passengers,538349,23100312
YYC,2024-04-01,"Calgary International, Alberta",total_screened_passengers,496301,23100312
YYC,2024-05-01,"Calgary International, Alberta",total_screened_passengers,548552,23100312
YYC,2024-06-01,"Calgary International, Alberta",total_screened_passengers,618898,23100312
